code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
600183,生益科技,1998-10-28,sh,stock,stock_sh_600183,电子器件,"['石墨烯', '券商重仓', '股权激励', '信托重仓']",广东,,,1998-10-28
600184,光电股份,2003-11-06,sh,stock,stock_sh_600184,玻璃行业,"['保障房', '本月解禁', '太阳能', '新能源', '国防军工', '军工航天']",湖北,,,2003-11-06
600185,格力地产,1999-06-11,sh,stock,stock_sh_600185,房地产,"['含可转债', '融资融券', '国企改革', '粤港澳', '新三板']",广东,,,1999-06-11
600186,莲花健康,1998-08-25,sh,stock,stock_sh_600186,食品行业,"['融资融券', '准ST股']",河南,,,1998-08-25
600187,国中水务,1998-11-11,sh,stock,stock_sh_600187,供水供气,"['空气治理', '污水处理']",黑龙江,,,1998-11-11
600188,兖州煤业,1998-07-01,sh,stock,stock_sh_600188,煤炭行业,"['低碳经济', '融资融券', '含H股']",山东,,,1998-07-01
600189,吉林森工,1998-10-07,sh,stock,stock_sh_600189,农林牧渔,"['图们江', '土地流转', '风沙治理']",吉林,,,1998-10-07
600190,锦州港,1999-06-09,sh,stock,stock_sh_600190,交通运输,"['日韩贸易', '含B股', '振兴沈阳', '自贸区', '东亚自贸']",辽宁,,,1999-06-09
600191,华资实业,1998-12-10,sh,stock,stock_sh_600191,食品行业,"['参股金融', '生物质能', '金融参股']",内蒙古,,,1998-12-10
600192,长城电工,1998-12-24,sh,stock,stock_sh_600192,发电设备,"['锂电池', '氢燃料', '风能', '燃料电池', '智能电网', '风能概念', '业绩预升', '陕甘宁', '新能源']",甘肃,,,1998-12-24
600193,创兴资源,1999-05-27,sh,stock,stock_sh_600193,钢铁行业,"['融资融券', '业绩预升', '稀土永磁']",上海,,,1999-05-27
600195,中牧股份,1999-01-07,sh,stock,stock_sh_600195,农林牧渔,"['参股金融', '赛马概念', '甲型流感', '生物疫苗', '保险重仓', '抗流感']",北京,,,1999-01-07
600196,复星医药,1998-08-07,sh,stock,stock_sh_600196,生物制药,"['氢燃料', '生物疫苗', '分拆上市', '融资融券', '保险重仓', '免疫治疗', '民营银行', '金融参股', '抗癌', '含H股', '仿制药', '社保重仓', '民营医院', '上海本地']",上海,,,1998-08-07
600197,伊力特,1999-09-16,sh,stock,stock_sh_600197,酿酒行业,"['参股金融', '融资融券', '金融参股']",新疆,,,1999-09-16
600198,大唐电信,1998-10-21,sh,stock,stock_sh_600198,电子信息,"['5G概念', '4G概念', '三网融合', '创投概念', '宽带提速', 'IPV6概念', '物联网', '云计算', '汽车电子', '电子支付', '网络游戏']",北京,,,1998-10-21
600199,金种子酒,1998-08-12,sh,stock,stock_sh_600199,酿酒行业,"['融资融券', '基金重仓']",安徽,,,1998-08-12
600200,江苏吴中,1999-04-01,sh,stock,stock_sh_600200,生物制药,"['参股金融', '金融参股', '抗癌', '重组概念']",江苏,,,1999-04-01
600201,生物股份,1999-01-15,sh,stock,stock_sh_600201,生物制药,"['甲型流感', '创投概念', '生物疫苗', '抗流感']",内蒙古,,,1999-01-15
600202,哈空调,1999-06-03,sh,stock,stock_sh_600202,电器行业,"['低碳经济', '准ST股', '核电核能']",黑龙江,,,1999-06-03
600203,福日电子,1999-05-14,sh,stock,stock_sh_600203,电子器件,"['三网融合', '海峡西岸', '绿色照明', '智能穿戴']",福建,,,1999-05-14
600206,有研新材,1999-03-19,sh,stock,stock_sh_600206,电子器件,"['新能源', '稀土永磁', '多晶硅']",北京,,,1999-03-19
600207,安彩高科,1999-07-14,sh,stock,stock_sh_600207,电子器件,"['太阳能', '触摸屏']",河南,,,1999-07-14
600208,新湖中宝,1999-06-23,sh,stock,stock_sh_600208,房地产,"['参股金融', '股权激励', '融资融券', '保障房', '基金重仓', '民营银行', '金融参股', '金融改革', '涉矿概念']",浙江,,,1999-06-23
600209,罗顿发展,1999-03-25,sh,stock,stock_sh_600209,综合行业,"['参股金融', '融资融券', '三沙概念', '土地流转', '海南自贸']",海南,,,1999-03-25
600210,紫江企业,1999-08-24,sh,stock,stock_sh_600210,印刷包装,"['锂电池', '创投概念', '上海本地']",上海,,,1999-08-24
